FID	IID	c1
HCB181	HCB181	1
HCB182	HCB182	1
HCB183	HCB183	1
HCB184	HCB184	1
HCB185	HCB185	1
HCB186	HCB186	1
HCB187	HCB187	1
HCB188	HCB188	1
HCB189	HCB189	1
HCB190	HCB190	1
HCB191	HCB191	1
HCB192	HCB192	1
HCB193	HCB193	1
HCB194	HCB194	1
HCB195	HCB195	1
HCB196	HCB196	1
HCB197	HCB197	1
HCB198	HCB198	1
HCB199	HCB199	1
HCB200	HCB200	1
HCB201	HCB201	1
HCB202	HCB202	1
HCB203	HCB203	1
HCB204	HCB204	1
HCB205	HCB205	1
HCB206	HCB206	1
HCB207	HCB207	1
HCB208	HCB208	1
HCB209	HCB209	1
HCB210	HCB210	1
HCB211	HCB211	1
HCB212	HCB212	1
HCB213	HCB213	1
HCB214	HCB214	1
HCB215	HCB215	1
HCB216	HCB216	1
HCB217	HCB217	1
HCB218	HCB218	1
HCB219	HCB219	1
HCB220	HCB220	1
HCB221	HCB221	1
HCB222	HCB222	1
HCB223	HCB223	1
HCB224	HCB224	1
HCB225	HCB225	1
JPT226	JPT226	1
JPT227	JPT227	1
JPT228	JPT228	1
JPT229	JPT229	1
JPT230	JPT230	1
JPT231	JPT231	1
JPT232	JPT232	1
JPT233	JPT233	1
JPT234	JPT234	1
JPT235	JPT235	1
JPT236	JPT236	1
JPT237	JPT237	1
JPT238	JPT238	1
JPT239	JPT239	1
JPT240	JPT240	1
JPT241	JPT241	1
JPT242	JPT242	1
JPT243	JPT243	1
JPT244	JPT244	1
JPT245	JPT245	1
JPT246	JPT246	1
JPT247	JPT247	1
JPT248	JPT248	1
JPT249	JPT249	1
JPT250	JPT250	1
JPT251	JPT251	1
JPT252	JPT252	1
JPT253	JPT253	1
JPT254	JPT254	1
JPT255	JPT255	1
JPT256	JPT256	1
JPT257	JPT257	1
JPT258	JPT258	1
JPT259	JPT259	1
JPT260	JPT260	1
JPT261	JPT261	1
JPT262	JPT262	1
JPT263	JPT263	1
JPT264	JPT264	1
JPT265	JPT265	1
JPT266	JPT266	1
JPT267	JPT267	1
JPT268	JPT268	1
JPT269	JPT269	1
